nom_original,nom_correct,code_insee,departement,latitude,longitude,notes
Montmotier,Montmotier,88311,88,47.9833432,6.1685653,Auto-généré depuis GeoJSON
Fresse-sur-Moselle,Fresse-sur-Moselle,88188,88,47.8672772,6.8052452,Auto-généré depuis GeoJSON
Remiremont,Remiremont,88383,88,47.9995189,6.5785567,Auto-généré depuis GeoJSON
Rupt-sur-Moselle,Rupt-sur-Moselle,88408,88,47.9337257,6.6601227,Auto-généré depuis GeoJSON
Saint-Benoît-la-Chipotte,Saint-Benoît-la-Chipotte,88412,88,48.3587928,6.7475443,Auto-généré depuis GeoJSON
Savigny,Savigny,88449,88,48.357195,6.22136,Auto-généré depuis GeoJSON
Zincourt,Zincourt,88532,88,48.3088628,6.4404959,Auto-généré depuis GeoJSON
Bettoncourt,Bettoncourt,88056,88,48.3371167,6.168451,Auto-généré depuis GeoJSON
Bouzemont,Bouzemont,88071,88,48.2527811,6.2392977,Auto-généré depuis GeoJSON
Midrevaux,Midrevaux,88303,88,48.3880721,5.5867302,Auto-généré depuis GeoJSON
Saint-Julien,Saint-Julien,88421,88,48.0233088,5.9118389,Auto-généré depuis GeoJSON
Gironcourt-sur-Vraine,Gironcourt-sur-Vraine,88206,88,48.3014947,5.9352362,Auto-généré depuis GeoJSON
Lironcourt,Lironcourt,88272,88,47.9710465,5.8757868,Auto-généré depuis GeoJSON
Regnévelle,Regnévelle,88377,88,47.9852875,5.96682,Auto-généré depuis GeoJSON
Saulcy-sur-Meurthe,Saulcy-sur-Meurthe,88445,88,48.2417776,6.9426197,Auto-généré depuis GeoJSON
Totainville,Totainville,88476,88,48.3241802,5.981624,Auto-généré depuis GeoJSON
Ventron,Ventron,88500,88,47.9388826,6.8903008,Auto-généré depuis GeoJSON
Arrentès-de-Corcieux,Arrentès-de-Corcieux,88014,88,48.1368863,6.8691427,Auto-généré depuis GeoJSON
Herpelmont,Herpelmont,88240,88,48.1641531,6.730983,Auto-généré depuis GeoJSON
