nom_original,nom_correct,code_insee,departement,latitude,longitude,notes
Corcelles-Ferrières,Corcelles-Ferrières,25162,25,47.2238885,5.8012239,Auto-généré depuis GeoJSON
Septfontaines,Septfontaines,25541,25,46.9746184,6.1763505,Auto-généré depuis GeoJSON
Glamondans,Glamondans,25273,25,47.2675157,6.288329,Auto-généré depuis GeoJSON
Ollans,Ollans,25430,25,47.4209053,6.2425757,Auto-généré depuis GeoJSON
Pierrefontaine-les-Varans,Pierrefontaine-les-Varans,25453,25,47.2181331,6.5580489,Auto-généré depuis GeoJSON
Rignosot,Rignosot,25491,25,47.3850603,6.2009418,Auto-généré depuis GeoJSON
Arcey,Arcey,25022,25,47.5203057,6.6578717,Auto-généré depuis GeoJSON
Châtillon-Guyotte,Châtillon-Guyotte,25132,25,47.3273887,6.1671594,Auto-généré depuis GeoJSON
Chevigney-sur-l'Ognon,Chevigney-sur-l'Ognon,25150,25,47.2930698,5.8470765,Auto-généré depuis GeoJSON
Mazerolles-le-Salin,Mazerolles-le-Salin,25371,25,47.2435924,5.8650223,Auto-généré depuis GeoJSON
Montandon,Montandon,25387,25,47.2958583,6.8348948,Auto-généré depuis GeoJSON
Montmahoux,Montmahoux,25404,25,46.9804798,6.0263085,Auto-généré depuis GeoJSON
Gevresin,Gevresin,25270,25,46.9639344,6.0503258,Auto-généré depuis GeoJSON
Malpas,Malpas,25362,25,46.8278984,6.2928089,Auto-généré depuis GeoJSON
Montfaucon,Montfaucon,25395,25,47.240688,6.0855382,Auto-généré depuis GeoJSON
Palantine,Palantine,25443,25,47.0969302,5.9404931,Auto-généré depuis GeoJSON
Pointvillers,Pointvillers,25460,25,47.0646484,5.9053162,Auto-généré depuis GeoJSON
Rouhe,Rouhe,25507,25,47.0865218,5.9678597,Auto-généré depuis GeoJSON
Thiébouhans,Thiébouhans,25559,25,47.2704385,6.8416031,Auto-généré depuis GeoJSON
Villars-lès-Blamont,Villars-lès-Blamont,25615,25,47.3655288,6.8731522,Auto-généré depuis GeoJSON
Chenalotte,Chenalotte,25148,25,47.1081634,6.6857212,Auto-généré depuis GeoJSON
Épenoy,Épenoy,25219,25,47.1338135,6.3856181,Auto-généré depuis GeoJSON
Gennes,Gennes,25267,25,47.2458717,6.1331527,Auto-généré depuis GeoJSON
Lavans-Vuillafans,Lavans-Vuillafans,25331,25,47.0814987,6.2570279,Auto-généré depuis GeoJSON
Plains-et-Grands-Essarts,Plains-et-Grands-Essarts,25458,25,47.3008123,6.8992881,Auto-généré depuis GeoJSON
Bonnétage,Bonnétage,25074,25,47.1777648,6.7466322,Auto-généré depuis GeoJSON
Chantrans,Chantrans,25120,25,47.0533282,6.1687989,Auto-généré depuis GeoJSON
Flagey-Rigney,Flagey-Rigney,25242,25,47.4125318,6.2179682,Auto-généré depuis GeoJSON
Hyèvre-Magny,Hyèvre-Magny,25312,25,47.3590659,6.4294196,Auto-généré depuis GeoJSON
Longemaison,Longemaison,25343,25,47.0785194,6.4552912,Auto-généré depuis GeoJSON
Montperreux,Montperreux,25405,25,46.8219865,6.341174,Auto-généré depuis GeoJSON
Rurey,Rurey,25511,25,47.0916928,5.9923499,Auto-généré depuis GeoJSON
Saraz,Saraz,25533,25,46.9907947,5.9649072,Auto-généré depuis GeoJSON
Vieilley,Vieilley,25612,25,47.3362687,6.0821934,Auto-généré depuis GeoJSON
Baume-les-Dames,Baume-les-Dames,25047,25,47.3547007,6.3441336,Auto-généré depuis GeoJSON
Courtefontaine,Courtefontaine,25174,25,47.3225512,6.9148287,Auto-généré depuis GeoJSON
Fourg,Fourg,25253,25,47.097224,5.8020043,Auto-généré depuis GeoJSON
Luhier,Luhier,25351,25,47.1709362,6.6811868,Auto-généré depuis GeoJSON
Noironte,Noironte,25427,25,47.2710616,5.8712875,Auto-généré depuis GeoJSON
Plaimbois-du-Miroir,Plaimbois-du-Miroir,25456,25,47.1928826,6.6458839,Auto-généré depuis GeoJSON
Villars-sous-Écot,Villars-sous-Écot,25618,25,47.4179398,6.7018978,Auto-généré depuis GeoJSON
Allenjoie,Allenjoie,25011,25,47.5328995,6.8925434,Auto-généré depuis GeoJSON
Exincourt,Exincourt,25230,25,47.5009146,6.8346851,Auto-généré depuis GeoJSON
Neuchâtel-Urtière,Neuchâtel-Urtière,25422,25,47.3774782,6.7292168,Auto-généré depuis GeoJSON
Saint-Hippolyte,Saint-Hippolyte,25519,25,47.3110632,6.8097901,Auto-généré depuis GeoJSON
Sochaux,Sochaux,25547,25,47.5158668,6.8304693,Auto-généré depuis GeoJSON
Trévillers,Trévillers,25571,25,47.2851931,6.8738163,Auto-généré depuis GeoJSON
Valonne,Valonne,25583,25,47.342519,6.669088,Auto-généré depuis GeoJSON
Audincourt,Audincourt,25031,25,47.4830936,6.8453956,Auto-généré depuis GeoJSON
Magny-Châtelard,Magny-Châtelard,25355,25,47.2374758,6.3278815,Auto-généré depuis GeoJSON
Meslières,Meslières,25378,25,47.4178569,6.8908641,Auto-généré depuis GeoJSON
Oye-et-Pallet,Oye-et-Pallet,25442,25,46.8537444,6.3402974,Auto-généré depuis GeoJSON
Rancenay,Rancenay,25477,25,47.1834462,5.9418182,Auto-généré depuis GeoJSON
Serre-les-Sapins,Serre-les-Sapins,25542,25,47.2416029,5.927005,Auto-généré depuis GeoJSON
Burnevillers,Burnevillers,25102,25,47.3319028,7.0245066,Auto-généré depuis GeoJSON
Échay,Échay,25209,25,47.0485816,5.9468666,Auto-généré depuis GeoJSON
Sainte-Colombe,Sainte-Colombe,25515,25,46.8730568,6.2747456,Auto-généré depuis GeoJSON
Chalezeule,Chalezeule,25112,25,47.257465,6.0664439,Auto-généré depuis GeoJSON
Champoux,Champoux,25117,25,47.3419075,6.134722,Auto-généré depuis GeoJSON
Champvans-les-Moulins,Champvans-les-Moulins,25119,25,47.2560426,5.9048053,Auto-généré depuis GeoJSON
Châtillon-le-Duc,Châtillon-le-Duc,25133,25,47.3079267,6.002698,Auto-généré depuis GeoJSON
Chay,Chay,25143,25,47.0327344,5.8602302,Auto-généré depuis GeoJSON
Pouligney-Lusans,Pouligney-Lusans,25468,25,47.3375469,6.2020782,Auto-généré depuis GeoJSON
Rochejean,Rochejean,25494,25,46.7313785,6.3038839,Auto-généré depuis GeoJSON
Chassagne-Saint-Denis,Chassagne-Saint-Denis,25129,25,47.0818877,6.1112514,Auto-généré depuis GeoJSON
Désandans,Désandans,25198,25,47.541396,6.6704213,Auto-généré depuis GeoJSON
Hauterive-la-Fresse,Hauterive-la-Fresse,25303,25,46.9681365,6.4566607,Auto-généré depuis GeoJSON
Montbenoît,Montbenoît,25390,25,46.9832271,6.4585496,Auto-généré depuis GeoJSON
Pirey,Pirey,25454,25,47.2589285,5.9656871,Auto-généré depuis GeoJSON
Quingey,Quingey,25475,25,47.1102415,5.8901636,Auto-généré depuis GeoJSON
Bouclans,Bouclans,25078,25,47.2377143,6.2303349,Auto-généré depuis GeoJSON
Bretenière,Bretenière,25092,25,47.3781445,6.2782043,Auto-généré depuis GeoJSON
Brey-et-Maison-du-Bois,Brey-et-Maison-du-Bois,25096,25,46.7457043,6.2430499,Auto-généré depuis GeoJSON
Chamesol,Chamesol,25114,25,47.3427949,6.8463012,Auto-généré depuis GeoJSON
Dompierre-les-Tilleuls,Dompierre-les-Tilleuls,25202,25,46.8891136,6.159339,Auto-généré depuis GeoJSON
Reculfoz,Reculfoz,25483,25,46.7100066,6.1501908,Auto-généré depuis GeoJSON
Avilley,Avilley,25038,25,47.4270226,6.2663842,Auto-généré depuis GeoJSON
Chevillotte,Chevillotte,25152,25,47.218256,6.1548931,Auto-généré depuis GeoJSON
Courcelles-lès-Montbéliard,Courcelles-lès-Montbéliard,25170,25,47.4924974,6.7865786,Auto-généré depuis GeoJSON
Dannemarie-sur-Crète,Dannemarie-sur-Crète,25195,25,47.2079228,5.8662719,Auto-généré depuis GeoJSON
Gonsans,Gonsans,25278,25,47.2291312,6.3022926,Auto-généré depuis GeoJSON
Épenouse,Épenouse,25218,25,47.2116516,6.4021731,Auto-généré depuis GeoJSON
Labergement-du-Navois,Labergement-du-Navois,25319,25,46.9769406,6.0829742,Auto-généré depuis GeoJSON
Maîche,Maîche,25356,25,47.2422128,6.8001287,Auto-généré depuis GeoJSON
Montécheroux,Montécheroux,25393,25,47.3458847,6.7941159,Auto-généré depuis GeoJSON
Naisey-les-Granges,Naisey-les-Granges,25417,25,47.2091726,6.2248753,Auto-généré depuis GeoJSON
Rahon,Rahon,25476,25,47.3289424,6.5847762,Auto-généré depuis GeoJSON
