nom_original,nom_correct,code_insee,departement,latitude,longitude,notes
Bucey-lès-Gy,Bucey-lès-Gy,70104,70,47.4092089,5.8634897,Auto-généré depuis GeoJSON
Lantenot,Lantenot,70294,70,47.754546,6.4989279,Auto-généré depuis GeoJSON
Lanterne-et-les-Armonts,Lanterne-et-les-Armonts,70295,70,47.7891011,6.5293189,Auto-généré depuis GeoJSON
Rigny,Rigny,70446,70,47.4798388,5.6271271,Auto-généré depuis GeoJSON
Corbière,Corbière,70172,70,47.7933857,6.4822316,Auto-généré depuis GeoJSON
Franchevelle,Franchevelle,70250,70,47.7462453,6.4630001,Auto-généré depuis GeoJSON
Montarlot-lès-Rioz,Montarlot-lès-Rioz,70355,70,47.4181165,5.9968445,Auto-généré depuis GeoJSON
Ouge,Ouge,70400,70,47.7976705,5.7025611,Auto-généré depuis GeoJSON
Vergenne,Vergenne,70544,70,47.6151357,6.5166297,Auto-généré depuis GeoJSON
Venisey,Venisey,70545,70,47.8395328,5.9992055,Auto-généré depuis GeoJSON
Vy-lès-Lure,Vy-lès-Lure,70581,70,47.6499203,6.4392824,Auto-généré depuis GeoJSON
Rosey,Rosey,70452,70,47.5546508,6.0136483,Auto-généré depuis GeoJSON
Sorans-lès-Breurey,Sorans-lès-Breurey,70493,70,47.3951222,6.0468125,Auto-généré depuis GeoJSON
Broye-Aubigney-Montseugny,Broye-Aubigney-Montseugny,70101,70,47.3303895,5.516881,Auto-généré depuis GeoJSON
Demie,Demie,70203,70,47.5828885,6.1690612,Auto-généré depuis GeoJSON
Pont-du-Bois,Pont-du-Bois,70419,70,47.9773291,6.1285743,Auto-généré depuis GeoJSON
Renaucourt,Renaucourt,70442,70,47.6414185,5.7651403,Auto-généré depuis GeoJSON
Villargent,Villargent,70553,70,47.5396948,6.4853724,Auto-généré depuis GeoJSON
Vallerois-Lorioz,Vallerois-Lorioz,70517,70,47.5676083,6.1448445,Auto-généré depuis GeoJSON
Beaumotte-Aubertans,Beaumotte-Aubertans,70059,70,47.4333023,6.1623831,Auto-généré depuis GeoJSON
Grammont,Grammont,70273,70,47.5172894,6.5111436,Auto-généré depuis GeoJSON
Longine,Longine,70308,70,47.8971397,6.5828959,Auto-généré depuis GeoJSON
Villefrancon,Villefrancon,70557,70,47.413695,5.7418508,Auto-généré depuis GeoJSON
Villeneuve-Bellenoye-et-la-Maize,Villeneuve-Bellenoye-et-la-Maize,70558,70,47.7137875,6.240525,Auto-généré depuis GeoJSON
Courcuire,Courcuire,70181,70,47.3492441,5.831618,Auto-généré depuis GeoJSON
Hurecourt,Hurecourt,70287,70,47.9040774,6.05525,Auto-généré depuis GeoJSON
Maizières,Maizières,70325,70,47.4952325,6.0026396,Auto-généré depuis GeoJSON
Montagney,Montagney,70353,70,47.2921288,5.6543118,Auto-généré depuis GeoJSON
Thiénans,Thiénans,70501,70,47.4670522,6.2793846,Auto-généré depuis GeoJSON
Vaux-le-Moncelot,Vaux-le-Moncelot,70527,70,47.4760295,5.9083511,Auto-généré depuis GeoJSON
Autet,Autet,70037,70,47.5429021,5.6979722,Auto-généré depuis GeoJSON
Brotte-lès-Ray,Brotte-lès-Ray,70099,70,47.6082828,5.7371219,Auto-généré depuis GeoJSON
Chancey,Chancey,70126,70,47.3225742,5.6773357,Auto-généré depuis GeoJSON
Ferrières-lès-Scey,Ferrières-lès-Scey,70232,70,47.661797,6.0073546,Auto-généré depuis GeoJSON
Fleurey-lès-Faverney,Fleurey-lès-Faverney,70236,70,47.7406859,6.0839846,Auto-généré depuis GeoJSON
Montcey,Montcey,70358,70,47.6507235,6.239205,Auto-généré depuis GeoJSON
Pont-sur-l'Ognon,Pont-sur-l'Ognon,70420,70,47.5181938,6.3906094,Auto-généré depuis GeoJSON
Cognières,Cognières,70159,70,47.4990435,6.2853576,Auto-généré depuis GeoJSON
Cult,Cult,70193,70,47.3110886,5.7434035,Auto-généré depuis GeoJSON
Abelcourt,Abelcourt,70001,70,47.7928232,6.274341,Auto-généré depuis GeoJSON
Amblans-et-Velotte,Amblans-et-Velotte,70014,70,47.6814965,6.4122921,Auto-généré depuis GeoJSON
Chargey-lès-Gray,Chargey-lès-Gray,70132,70,47.4896263,5.5742955,Auto-généré depuis GeoJSON
Pin,Pin,70410,70,47.3423086,5.8566416,Auto-généré depuis GeoJSON
Tromarey,Tromarey,70509,70,47.3324791,5.7225424,Auto-généré depuis GeoJSON
Marnay,Marnay,70334,70,47.2969661,5.7726378,Auto-généré depuis GeoJSON
Francourt,Francourt,70251,70,47.6556433,5.7370123,Auto-généré depuis GeoJSON
Arc-lès-Gray,Arc-lès-Gray,70026,70,47.4611481,5.5768549,Auto-généré depuis GeoJSON
Borey,Borey,70077,70,47.581479,6.3588856,Auto-généré depuis GeoJSON
Chevigney,Chevigney,70151,70,47.3295248,5.5855872,Auto-généré depuis GeoJSON
Hugier,Hugier,70286,70,47.3118355,5.7032238,Auto-généré depuis GeoJSON
Loulans-Verchamp,Loulans-Verchamp,70309,70,47.4448244,6.2043461,Auto-généré depuis GeoJSON
Ronchamp,Ronchamp,70451,70,47.7165148,6.6342998,Auto-généré depuis GeoJSON
Saint-Remy,Saint-Remy,70472,70,47.8373447,6.1077323,Auto-généré depuis GeoJSON
Chenebier,Chenebier,70149,70,47.6444134,6.7081473,Auto-généré depuis GeoJSON
Ormoiche,Ormoiche,70398,70,47.8156272,6.3051304,Auto-généré depuis GeoJSON
Velleguindry-et-Levrecey,Velleguindry-et-Levrecey,70535,70,47.555026,6.0870473,Auto-généré depuis GeoJSON
Amance,Amance,70012,70,47.7924758,6.0433095,Auto-généré depuis GeoJSON
Arpenans,Arpenans,70029,70,47.626373,6.4134094,Auto-généré depuis GeoJSON
Betoncourt-sur-Mance,Betoncourt-sur-Mance,70070,70,47.8404051,5.7536261,Auto-généré depuis GeoJSON
Châtenois,Châtenois,70141,70,47.6856328,6.3150544,Auto-généré depuis GeoJSON
Clairegoutte,Clairegoutte,70157,70,47.6562235,6.6368224,Auto-généré depuis GeoJSON
Écuelle,Écuelle,70211,70,47.5512489,5.5423216,Auto-généré depuis GeoJSON
Esboz-Brest,Esboz-Brest,70216,70,47.7974749,6.4377664,Auto-généré depuis GeoJSON
Lieucourt,Lieucourt,70302,70,47.3606419,5.6161992,Auto-généré depuis GeoJSON
Pusey,Pusey,70428,70,47.6503553,6.1188853,Auto-généré depuis GeoJSON
Recologne-lès-Rioz,Recologne-lès-Rioz,70441,70,47.4665939,5.988804,Auto-généré depuis GeoJSON
Apremont,Apremont,70024,70,47.3931211,5.5365774,Auto-généré depuis GeoJSON
Chavanne,Chavanne,70147,70,47.562297,6.657769,Auto-généré depuis GeoJSON
Cordonnet,Cordonnet,70174,70,47.4144029,5.9604729,Auto-généré depuis GeoJSON
Cresancey,Cresancey,70185,70,47.3995019,5.6512833,Auto-généré depuis GeoJSON
Villers-le-Sec,Villers-le-Sec,70563,70,47.5820128,6.2372072,Auto-généré depuis GeoJSON
Saint-Ferjeux,Saint-Ferjeux,70462,70,47.5453034,6.5074431,Auto-généré depuis GeoJSON
Senoncourt,Senoncourt,70488,70,47.8357645,6.0577678,Auto-généré depuis GeoJSON
Beaumotte-lès-Pin,Beaumotte-lès-Pin,70060,70,47.3201996,5.8256719,Auto-généré depuis GeoJSON
Colombier,Colombier,70163,70,47.6709311,6.215259,Auto-généré depuis GeoJSON
Échenoz-la-Méline,Échenoz-la-Méline,70207,70,47.5926365,6.1377829,Auto-généré depuis GeoJSON
Faverney,Faverney,70228,70,47.7668874,6.0687925,Auto-généré depuis GeoJSON
Jasney,Jasney,70290,70,47.8716985,6.1811457,Auto-généré depuis GeoJSON
Luze,Luze,70312,70,47.6073325,6.7188627,Auto-généré depuis GeoJSON
Villers-Bouton,Villers-Bouton,70560,70,47.4481324,5.9735192,Auto-généré depuis GeoJSON
Saint-Loup-Nantouard,Saint-Loup-Nantouard,70466,70,47.4294192,5.7320673,Auto-généré depuis GeoJSON
