nom_original,nom_correct,code_insee,departement,latitude,longitude,notes
Lucelle,Lucelle,68190,68,47.4384462,7.2797258,Auto-généré depuis GeoJSON
Wahlbach,Wahlbach,68353,68,47.6286084,7.3462154,Auto-généré depuis GeoJSON
Wihr-au-Val,Wihr-au-Val,68368,68,48.0567759,7.1977771,Auto-généré depuis GeoJSON
Valdieu-Lutran,Valdieu-Lutran,68192,68,47.6274494,7.0534842,Auto-généré depuis GeoJSON
Mulhouse,Mulhouse,68224,68,47.7509389,7.3181406,Auto-généré depuis GeoJSON
Rantzwiller,Rantzwiller,68265,68,47.6468395,7.3710605,Auto-généré depuis GeoJSON
Lièpvre,Lièpvre,68185,68,48.2682306,7.2854583,Auto-généré depuis GeoJSON
Sausheim,Sausheim,68300,68,47.7860911,7.3803969,Auto-généré depuis GeoJSON
Sondernach,Sondernach,68311,68,47.9783492,7.0734551,Auto-généré depuis GeoJSON
Stetten,Stetten,68327,68,47.6235774,7.4164005,Auto-généré depuis GeoJSON
Blotzheim,Blotzheim,68042,68,47.6007893,7.4991528,Auto-généré depuis GeoJSON
Bruebach,Bruebach,68055,68,47.7020703,7.3603997,Auto-généré depuis GeoJSON
Buethwiller,Buethwiller,68057,68,47.6619794,7.1333496,Auto-généré depuis GeoJSON
Eteimbes,Eteimbes,68085,68,47.7040677,7.042666,Auto-généré depuis GeoJSON
Flaxlanden,Flaxlanden,68093,68,47.6946238,7.3240166,Auto-généré depuis GeoJSON
Heidwiller,Heidwiller,68127,68,47.6564064,7.2314924,Auto-généré depuis GeoJSON
Knœringue,Knœringue,68168,68,47.5637769,7.399749,Auto-généré depuis GeoJSON
Ligsdorf,Ligsdorf,68186,68,47.4630928,7.2992266,Auto-généré depuis GeoJSON
Muespach,Muespach,68221,68,47.54948,7.3715395,Auto-généré depuis GeoJSON
Rosenau,Rosenau,68286,68,47.6394825,7.5382097,Auto-généré depuis GeoJSON
Tagsdorf,Tagsdorf,68333,68,47.6193722,7.3032661,Auto-généré depuis GeoJSON
Uffholtz,Uffholtz,68342,68,47.8293391,7.168211,Auto-généré depuis GeoJSON
Lauw,Lauw,68179,68,47.764093,7.0225848,Auto-généré depuis GeoJSON
