commune,latitude,longitude,method,geojson_status
Danjoutin,,,nominatim,missing
Andelnans,,,nominatim,missing
Charmois,,,nominatim,missing
Froidefontaine,,,nominatim,missing
Morvillars,,,nominatim,missing
Méziré,,,nominatim,missing
Dampierre-les-Bois,,,nominatim,missing
Beaucourt,,,nominatim,missing
Dasle,,,nominatim,missing
Vandoncourt,,,nominatim,missing
Hérimoncourt,,,nominatim,missing
Seloncourt,,,nominatim,missing
Montbéliard,,,nominatim,missing
Les Essarts Balangier,,,nominatim,missing
Mandeure,,,nominatim,missing
Chassagne,,,nominatim,missing
Écurcey,,,nominatim,missing
Sur Charmoille,,,nominatim,missing
Autechaux-Roide,,,nominatim,missing
Pont-de-Roide-Vermondans,,,nominatim,missing
Chatey,,,nominatim,missing
Écot,,,nominatim,missing
Mathay,,,nominatim,missing
Berche,,,nominatim,missing
Voujeaucourt,,,nominatim,missing
Champs de Lorday,,,nominatim,missing
Sainte-Suzanne,,,nominatim,missing
Grand-Charmont,,,nominatim,missing
Vieux-Charmont,,,nominatim,missing
Nommay,,,nominatim,missing
Dambenois,,,nominatim,missing
Vourvenans,,,nominatim,missing
Bermont,,,nominatim,missing
Sevenans,,,nominatim,missing
Le Berger,,,nominatim,missing
