commune_original,statut,commune_finale,raison
Rougegoutte,corrected,Rougegoutte,Commune fusionnée reclassifiée
Faverois,corrected,Faverois,Commune fusionnée reclassifiée
Les Errues,unknown,Les Errues,Commune non trouvée dans le mapping
Belfort,corrected,Belfort,Orthographe corrigée
Offemont,corrected,Offemont,Orthographe corrigée
Grandvillars,corrected,Grandvillars,Commune fusionnée reclassifiée
Chaux,unknown,Chaux,Commune non trouvée dans le mapping
Argiésans,unknown,Argiésans,Commune non trouvée dans le mapping
Morvillars,unknown,Morvillars,Commune non trouvée dans le mapping
Suarce,unknown,Suarce,Commune non trouvée dans le mapping
Bethonvilliers,unknown,Bethonvilliers,Commune non trouvée dans le mapping
Sur la Vie de Florimont,unknown,Sur la Vie de Florimont,Commune non trouvée dans le mapping
Angeot,unknown,Angeot,Commune non trouvée dans le mapping
Saint-Dizier-l'Évêque,unknown,Saint-Dizier-l'Évêque,Commune non trouvée dans le mapping
Buc,unknown,Buc,Commune non trouvée dans le mapping
Grosne,unknown,Grosne,Commune non trouvée dans le mapping
Bavilliers,unknown,Bavilliers,Commune non trouvée dans le mapping
Joncherey,unknown,Joncherey,Commune non trouvée dans le mapping
Le Plainot,unknown,Le Plainot,Commune non trouvée dans le mapping
Delle,unknown,Delle,Commune non trouvée dans le mapping
Novillard,unknown,Novillard,Commune non trouvée dans le mapping
Pérouse,unknown,Pérouse,Commune non trouvée dans le mapping
Petitefontaine,unknown,Petitefontaine,Commune non trouvée dans le mapping
Bessoncourt,unknown,Bessoncourt,Commune non trouvée dans le mapping
Danjoutin,unknown,Danjoutin,Commune non trouvée dans le mapping
Essert,unknown,Essert,Commune non trouvée dans le mapping
Fêche-l'Église,unknown,Fêche-l'Église,Commune non trouvée dans le mapping
Brebotte,unknown,Brebotte,Commune non trouvée dans le mapping
Bretagne,unknown,Bretagne,Commune non trouvée dans le mapping
Montreux-Château,unknown,Montreux-Château,Commune non trouvée dans le mapping
Bourogne,unknown,Bourogne,Commune non trouvée dans le mapping
Grosmagny,corrected,Grosmagny,Orthographe corrigée
Vauthiermont,unknown,Vauthiermont,Commune non trouvée dans le mapping
Giromagny,corrected,Grosmagny,Correction floue (similarité: grosmagny)
Montbouton,unknown,Montbouton,Commune non trouvée dans le mapping
Villars-le-Sec,unknown,Villars-le-Sec,Commune non trouvée dans le mapping
Frais,unknown,Frais,Commune non trouvée dans le mapping
Recouvrance,unknown,Recouvrance,Commune non trouvée dans le mapping
Lachapelle-sous-Chaux,unknown,Lachapelle-sous-Chaux,Commune non trouvée dans le mapping
Botans,unknown,Botans,Commune non trouvée dans le mapping
Foussemagne,unknown,Foussemagne,Commune non trouvée dans le mapping
Lagrange,unknown,Lagrange,Commune non trouvée dans le mapping
Beaucourt,unknown,Beaucourt,Commune non trouvée dans le mapping
Reppe,unknown,Reppe,Commune non trouvée dans le mapping
Cravanche,unknown,Cravanche,Commune non trouvée dans le mapping
Évette,unknown,Évette,Commune non trouvée dans le mapping
Valdoie,corrected,Valdoie,Orthographe corrigée
Denney,unknown,Denney,Commune non trouvée dans le mapping
Roppe,unknown,Roppe,Commune non trouvée dans le mapping
