commune_original,statut,commune_finale,raison
Belfort,corrected,Belfort,Orthographe corrigée
Danjoutin,unknown,Danjoutin,Commune non trouvée dans le mapping
Andelnans,unknown,Andelnans,Commune non trouvée dans le mapping
Sevenans,unknown,Sevenans,Commune non trouvée dans le mapping
La Jonxion,unknown,La Jonxion,Commune non trouvée dans le mapping
Bourogne,unknown,Bourogne,Commune non trouvée dans le mapping
Charmois,unknown,Charmois,Commune non trouvée dans le mapping
Froidefontaine,unknown,Froidefontaine,Commune non trouvée dans le mapping
Brebotte,unknown,Brebotte,Commune non trouvée dans le mapping
Bretagne,unknown,Bretagne,Commune non trouvée dans le mapping
Chavannes-les-Grands,unknown,Chavannes-les-Grands,Commune non trouvée dans le mapping
Chavanatte,unknown,Chavanatte,Commune non trouvée dans le mapping
Suarce,unknown,Suarce,Commune non trouvée dans le mapping
Florimont,unknown,Florimont,Commune non trouvée dans le mapping
Faverois,corrected,Faverois,Commune fusionnée reclassifiée
Joncherey,unknown,Joncherey,Commune non trouvée dans le mapping
Thiancourt,unknown,Thiancourt,Commune non trouvée dans le mapping
Grandvillars,corrected,Grandvillars,Commune fusionnée reclassifiée
Fêche-l'Église,unknown,Fêche-l'Église,Commune non trouvée dans le mapping
Lebetain,unknown,Lebetain,Commune non trouvée dans le mapping
Delle,unknown,Delle,Commune non trouvée dans le mapping
Morvillars,unknown,Morvillars,Commune non trouvée dans le mapping
