commune,latitude,longitude,method,geojson_status
Danjoutin,,,nominatim,missing
Andelnans,,,nominatim,missing
Charmois,,,nominatim,missing
Eschêne,,,nominatim,missing
Brebotte,,,nominatim,missing
Bretagne,,,nominatim,missing
Montreux-Jeune,,,nominatim,missing
Chavannes-les-Grands,,,nominatim,missing
Chavanatte,,,nominatim,missing
Suarce,,,nominatim,missing
Florimont,,,nominatim,missing
Joncherey,,,nominatim,missing
Thiancourt,,,nominatim,missing
Fêche-l'Église,,,nominatim,missing
Badevel,,,nominatim,missing
Dampierre-les-Bois,,,nominatim,missing
Beaucourt,,,nominatim,missing
Dasle,,,nominatim,missing
Montbouton,,,nominatim,missing
Vandoncourt,,,nominatim,missing
Abbévillers,,,nominatim,missing
Croix,,,nominatim,missing
Villars-le-Sec,,,nominatim,missing
Saint-Dizier-l'Évêque,,,nominatim,missing
Lebetain,,,nominatim,missing
Delle,,,nominatim,missing
Froidefontaine,,,nominatim,missing
Bourogne,,,nominatim,missing
La Jonxion,,,nominatim,missing
Sevenans,,,nominatim,missing
