commune,latitude,longitude,method,geojson_status
Denney,,,nominatim,missing
Phaffans,,,nominatim,missing
Lacollonge,,,nominatim,missing
Larivière,,,nominatim,missing
Angeot,,,nominatim,missing
Lachapelle-sous-Rougemont,,,nominatim,missing
Eteimbes,,,nominatim,missing
Bretten,,,nominatim,missing
Soppe-le-Bas,,,nominatim,missing
Guewenheim,,,nominatim,missing
Roderen,,,nominatim,missing
Leimbach,,,nominatim,missing
Vieux-Thann,,,nominatim,missing
Thann-Guebwiller,,,nominatim,missing
Bitschwiller-lès-Thann,,,nominatim,missing
Allenbourn,,,nominatim,missing
Bourbach-le-Haut,,,nominatim,missing
Houppach,,,nominatim,missing
Rougemont-le-Château,,,nominatim,missing
Anjoutey,,,nominatim,missing
