commune,latitude,longitude,method,geojson_status
Pérouse,,,nominatim,missing
Chèvremont,,,nominatim,missing
Fontenelle,,,nominatim,missing
Petit-Croix,,,nominatim,missing
Montreux-Château,,,nominatim,missing
Montreux-Vieux,,,nominatim,missing
Montreux-Jeune,,,nominatim,missing
Moulin de la Caille,,,nominatim,missing
Valdieu-Lutran,,,nominatim,missing
Retzwiller,,,nominatim,missing
Wolfersdorf,,,nominatim,missing
Traubach-le-Bas,,,nominatim,missing
Traubach-le-Haut,,,nominatim,missing
Bréchaumont,,,nominatim,missing
Saint-Cosme,,,nominatim,missing
Vauthiermont,,,nominatim,missing
Larivière,,,nominatim,missing
Lacollonge,,,nominatim,missing
Phaffans,,,nominatim,missing
Denney,,,nominatim,missing
Roppe,,,nominatim,missing
Vétrigne,,,nominatim,missing
