commune_original,statut,commune_finale,raison
Belfort,corrected,Belfort,Orthographe corrigée
Champs de la Croix,unknown,Champs de la Croix,Commune non trouvée dans le mapping
Cravanche,unknown,Cravanche,Commune non trouvée dans le mapping
Essert,unknown,Essert,Commune non trouvée dans le mapping
Châlonvillars,unknown,Châlonvillars,Commune non trouvée dans le mapping
Mandrevillars,unknown,Mandrevillars,Commune non trouvée dans le mapping
Échenans-sous-Mont-Vaudois,unknown,Échenans-sous-Mont-Vaudois,Commune non trouvée dans le mapping
Luze,unknown,Luze,Commune non trouvée dans le mapping
Lure,unknown,Lure,Commune non trouvée dans le mapping
Saint-Valbert,unknown,Saint-Valbert,Commune non trouvée dans le mapping
Le Petit Mougnot,unknown,Le Petit Mougnot,Commune non trouvée dans le mapping
Byans,unknown,Byans,Commune non trouvée dans le mapping
Verlans,unknown,Verlans,Commune non trouvée dans le mapping
Trémoins,unknown,Trémoins,Commune non trouvée dans le mapping
Aibre,unknown,Aibre,Commune non trouvée dans le mapping
Les Trois Villages,unknown,Les Trois Villages,Commune non trouvée dans le mapping
Échenans,unknown,Échenans,Commune non trouvée dans le mapping
Saint-Julien-lès-Montbéliard,unknown,Saint-Julien-lès-Montbéliard,Commune non trouvée dans le mapping
Sainte-Marie,unknown,Sainte-Marie,Commune non trouvée dans le mapping
Lougres,unknown,Lougres,Commune non trouvée dans le mapping
Bavans,unknown,Bavans,Commune non trouvée dans le mapping
Colombier-Fontaine,unknown,Colombier-Fontaine,Commune non trouvée dans le mapping
La Raydans,unknown,La Raydans,Commune non trouvée dans le mapping
Étouvans,unknown,Étouvans,Commune non trouvée dans le mapping
Dampierre-sur-le-Doubs,unknown,Dampierre-sur-le-Doubs,Commune non trouvée dans le mapping
Berche,unknown,Berche,Commune non trouvée dans le mapping
Voujeaucourt,unknown,Voujeaucourt,Commune non trouvée dans le mapping
Bart,rejected,Bart,POI détecté (hôtel/restaurant)
Courcelles-lès-Montbéliard,unknown,Courcelles-lès-Montbéliard,Commune non trouvée dans le mapping
Montbéliard,unknown,Montbéliard,Commune non trouvée dans le mapping
Exincourt,unknown,Exincourt,Commune non trouvée dans le mapping
Étupes,unknown,Étupes,Commune non trouvée dans le mapping
Allenjoie,unknown,Allenjoie,Commune non trouvée dans le mapping
Brognard,unknown,Brognard,Commune non trouvée dans le mapping
Dambenois,unknown,Dambenois,Commune non trouvée dans le mapping
Vourvenans,unknown,Vourvenans,Commune non trouvée dans le mapping
Bermont,unknown,Bermont,Commune non trouvée dans le mapping
Dorans,unknown,Dorans,Commune non trouvée dans le mapping
Botans,unknown,Botans,Commune non trouvée dans le mapping
Andelnans,unknown,Andelnans,Commune non trouvée dans le mapping
Danjoutin,unknown,Danjoutin,Commune non trouvée dans le mapping
