commune_original,statut,commune_finale,raison
Belfort,corrected,Belfort,Orthographe corrigée
Offemont,corrected,Offemont,Orthographe corrigée
Valdoie,corrected,Valdoie,Orthographe corrigée
Éloie,corrected,Éloie,Orthographe corrigée
Grosmagny,corrected,Grosmagny,Orthographe corrigée
Petitmagny,corrected,Petitmagny,Orthographe corrigée
Étueffont-Bas,corrected,Étueffont,Commune fusionnée reclassifiée
Étueffont,corrected,Étueffont,Orthographe corrigée
Lamadeleine-Val-des-Anges,corrected,Lamadeleine-Val-des-Anges,Orthographe corrigée
Les Queupeux,corrected,Étueffont,Commune fusionnée reclassifiée
