commune,latitude,longitude,method,geojson_status
Vétrigne,,,nominatim,missing
Roppe,,,nominatim,missing
Denney,,,nominatim,missing
Phaffans,,,nominatim,missing
Lacollonge,,,nominatim,missing
Larivière,,,nominatim,missing
Angeot,,,nominatim,missing
Lachapelle-sous-Rougemont,,,nominatim,missing
Thann-Guebwiller,,,nominatim,missing
Guewenheim,,,nominatim,missing
Burnhaupt-le-Haut,,,nominatim,missing
Burnhaupt-le-Bas,,,nominatim,missing
Soppe-le-Bas,,,nominatim,missing
Sonnenhof,,,nominatim,missing
Diefmatten,,,nominatim,missing
Bretten,,,nominatim,missing
Bellemagny,,,nominatim,missing
Saint-Cosme,,,nominatim,missing
Vauthiermont,,,nominatim,missing
Eguenigue,,,nominatim,missing
