commune_original,statut,commune_finale,raison
Belfort,unknown,Belfort,Commune non trouvée dans le mapping
Offemont,unknown,Offemont,Commune non trouvée dans le mapping
Valdoie,unknown,Valdoie,Commune non trouvée dans le mapping
Éloie,unknown,Éloie,Commune non trouvée dans le mapping
Grosmagny,unknown,Grosmagny,Commune non trouvée dans le mapping
Petitmagny,unknown,Petitmagny,Commune non trouvée dans le mapping
Étueffont,unknown,Étueffont,Commune non trouvée dans le mapping
Étueffont-Bas,corrected,Étueffont,Commune fusionnée reclassifiée → Étueffont
Lamadeleine-Val-des-Anges,unknown,Lamadeleine-Val-des-Anges,Commune non trouvée dans le mapping
Les Queupeux,corrected,Étueffont,Commune fusionnée reclassifiée → Étueffont
