commune_original,statut,commune_finale,raison
Belfort,corrected,Belfort,Orthographe corrigée
Danjoutin,unknown,Danjoutin,Commune non trouvée dans le mapping
Andelnans,unknown,Andelnans,Commune non trouvée dans le mapping
Charmois,unknown,Charmois,Commune non trouvée dans le mapping
Froidefontaine,unknown,Froidefontaine,Commune non trouvée dans le mapping
Morvillars,unknown,Morvillars,Commune non trouvée dans le mapping
Méziré,unknown,Méziré,Commune non trouvée dans le mapping
Dampierre-les-Bois,unknown,Dampierre-les-Bois,Commune non trouvée dans le mapping
Beaucourt,unknown,Beaucourt,Commune non trouvée dans le mapping
Dasle,unknown,Dasle,Commune non trouvée dans le mapping
Vandoncourt,unknown,Vandoncourt,Commune non trouvée dans le mapping
Hérimoncourt,unknown,Hérimoncourt,Commune non trouvée dans le mapping
Seloncourt,unknown,Seloncourt,Commune non trouvée dans le mapping
Montbéliard,unknown,Montbéliard,Commune non trouvée dans le mapping
Les Essarts Balangier,unknown,Les Essarts Balangier,Commune non trouvée dans le mapping
Mandeure,unknown,Mandeure,Commune non trouvée dans le mapping
Chassagne,unknown,Chassagne,Commune non trouvée dans le mapping
Écurcey,unknown,Écurcey,Commune non trouvée dans le mapping
Sur Charmoille,unknown,Sur Charmoille,Commune non trouvée dans le mapping
Autechaux-Roide,unknown,Autechaux-Roide,Commune non trouvée dans le mapping
Pont-de-Roide-Vermondans,unknown,Pont-de-Roide-Vermondans,Commune non trouvée dans le mapping
Chatey,unknown,Chatey,Commune non trouvée dans le mapping
Écot,unknown,Écot,Commune non trouvée dans le mapping
Mathay,unknown,Mathay,Commune non trouvée dans le mapping
Berche,unknown,Berche,Commune non trouvée dans le mapping
Voujeaucourt,unknown,Voujeaucourt,Commune non trouvée dans le mapping
Bart,rejected,Bart,POI détecté (hôtel/restaurant)
Champs de Lorday,unknown,Champs de Lorday,Commune non trouvée dans le mapping
Sainte-Suzanne,unknown,Sainte-Suzanne,Commune non trouvée dans le mapping
Grand-Charmont,unknown,Grand-Charmont,Commune non trouvée dans le mapping
Vieux-Charmont,unknown,Vieux-Charmont,Commune non trouvée dans le mapping
Nommay,unknown,Nommay,Commune non trouvée dans le mapping
Dambenois,unknown,Dambenois,Commune non trouvée dans le mapping
Vourvenans,unknown,Vourvenans,Commune non trouvée dans le mapping
Bermont,unknown,Bermont,Commune non trouvée dans le mapping
Sevenans,unknown,Sevenans,Commune non trouvée dans le mapping
Le Berger,unknown,Le Berger,Commune non trouvée dans le mapping
