commune_original,statut,commune_finale,raison
Belfort,corrected,Belfort,Orthographe corrigée
Danjoutin,unknown,Danjoutin,Commune non trouvée dans le mapping
Vézelois,unknown,Vézelois,Commune non trouvée dans le mapping
Rechotte,unknown,Rechotte,Commune non trouvée dans le mapping
Novillard,unknown,Novillard,Commune non trouvée dans le mapping
Petit-Croix,unknown,Petit-Croix,Commune non trouvée dans le mapping
Montreux-Château,unknown,Montreux-Château,Commune non trouvée dans le mapping
Montreux-Jeune,unknown,Montreux-Jeune,Commune non trouvée dans le mapping
Moulin de la Caille,unknown,Moulin de la Caille,Commune non trouvée dans le mapping
Valdieu-Lutran,unknown,Valdieu-Lutran,Commune non trouvée dans le mapping
Retzwiller,unknown,Retzwiller,Commune non trouvée dans le mapping
Manspach,unknown,Manspach,Commune non trouvée dans le mapping
Altenach,unknown,Altenach,Commune non trouvée dans le mapping
Saint-Ulrich,unknown,Saint-Ulrich,Commune non trouvée dans le mapping
Mertzen,unknown,Mertzen,Commune non trouvée dans le mapping
Strueth,unknown,Strueth,Commune non trouvée dans le mapping
Hindlingen,unknown,Hindlingen,Commune non trouvée dans le mapping
Reschel,unknown,Reschel,Commune non trouvée dans le mapping
Ueberstrass,unknown,Ueberstrass,Commune non trouvée dans le mapping
Seppois-le-Bas,unknown,Seppois-le-Bas,Commune non trouvée dans le mapping
Seppois-le-Haut,unknown,Seppois-le-Haut,Commune non trouvée dans le mapping
Pfetterhouse,unknown,Pfetterhouse,Commune non trouvée dans le mapping
Réchésy,unknown,Réchésy,Commune non trouvée dans le mapping
Sur la Vie de Florimont,unknown,Sur la Vie de Florimont,Commune non trouvée dans le mapping
Le Cotiat,unknown,Le Cotiat,Commune non trouvée dans le mapping
Courcelles,unknown,Courcelles,Commune non trouvée dans le mapping
Florimont,unknown,Florimont,Commune non trouvée dans le mapping
Delle,unknown,Delle,Commune non trouvée dans le mapping
Thiancourt,unknown,Thiancourt,Commune non trouvée dans le mapping
Grandvillars,corrected,Grandvillars,Commune fusionnée reclassifiée
Morvillars,unknown,Morvillars,Commune non trouvée dans le mapping
Bourogne,unknown,Bourogne,Commune non trouvée dans le mapping
La Jonxion,unknown,La Jonxion,Commune non trouvée dans le mapping
Sevenans,unknown,Sevenans,Commune non trouvée dans le mapping
Andelnans,unknown,Andelnans,Commune non trouvée dans le mapping
