commune_original,statut,commune_finale,raison
Belfort,corrected,Belfort,Orthographe corrigée
Valdoie,corrected,Valdoie,Orthographe corrigée
Salbert,unknown,Salbert,Commune non trouvée dans le mapping
Canton Grosjean,unknown,Canton Grosjean,Commune non trouvée dans le mapping
Le Thiamont,unknown,Le Thiamont,Commune non trouvée dans le mapping
Évette,unknown,Évette,Commune non trouvée dans le mapping
Le Malsaucy,unknown,Le Malsaucy,Commune non trouvée dans le mapping
Errevet,unknown,Errevet,Commune non trouvée dans le mapping
Plancher-Bas,unknown,Plancher-Bas,Commune non trouvée dans le mapping
Champagney,unknown,Champagney,Commune non trouvée dans le mapping
La Houillère,unknown,La Houillère,Commune non trouvée dans le mapping
Ronchamp,unknown,Ronchamp,Commune non trouvée dans le mapping
Le Rhien,unknown,Le Rhien,Commune non trouvée dans le mapping
Auxelles-Bas,unknown,Auxelles-Bas,Commune non trouvée dans le mapping
Lachapelle-sous-Chaux,unknown,Lachapelle-sous-Chaux,Commune non trouvée dans le mapping
Sermamagny,unknown,Sermamagny,Commune non trouvée dans le mapping
Offemont,corrected,Offemont,Orthographe corrigée
