commune,latitude,longitude,method,geojson_status
Danjoutin,,,nominatim,missing
Vézelois,,,nominatim,missing
Rechotte,,,nominatim,missing
Novillard,,,nominatim,missing
Petit-Croix,,,nominatim,missing
Montreux-Château,,,nominatim,missing
Montreux-Jeune,,,nominatim,missing
Moulin de la Caille,,,nominatim,missing
Valdieu-Lutran,,,nominatim,missing
Retzwiller,,,nominatim,missing
Manspach,,,nominatim,missing
Altenach,,,nominatim,missing
Saint-Ulrich,,,nominatim,missing
Mertzen,,,nominatim,missing
Strueth,,,nominatim,missing
Hindlingen,,,nominatim,missing
Reschel,,,nominatim,missing
Ueberstrass,,,nominatim,missing
Seppois-le-Bas,,,nominatim,missing
Seppois-le-Haut,,,nominatim,missing
Pfetterhouse,,,nominatim,missing
Réchésy,,,nominatim,missing
Sur la Vie de Florimont,,,nominatim,missing
Le Cotiat,,,nominatim,missing
Courcelles,,,nominatim,missing
Florimont,,,nominatim,missing
Delle,,,nominatim,missing
Thiancourt,,,nominatim,missing
Morvillars,,,nominatim,missing
Bourogne,,,nominatim,missing
La Jonxion,,,nominatim,missing
Sevenans,,,nominatim,missing
Andelnans,,,nominatim,missing
