commune,latitude,longitude,method,geojson_status
Champs de la Croix,,,nominatim,missing
Cravanche,,,nominatim,missing
Essert,,,nominatim,missing
Châlonvillars,,,nominatim,missing
Buc,,,nominatim,missing
Mandrevillars,,,nominatim,missing
Échenans-sous-Mont-Vaudois,,,nominatim,missing
Luze,,,nominatim,missing
Saint-Valbert,,,nominatim,missing
Lure,,,nominatim,missing
Le Petit Mougnot,,,nominatim,missing
Byans,,,nominatim,missing
Verlans,,,nominatim,missing
Trémoins,,,nominatim,missing
Aibre,,,nominatim,missing
Les Trois Villages,,,nominatim,missing
Échenans,,,nominatim,missing
Saint-Julien-lès-Montbéliard,,,nominatim,missing
Sainte-Marie,,,nominatim,missing
Lougres,,,nominatim,missing
Bavans,,,nominatim,missing
Colombier-Fontaine,,,nominatim,missing
La Raydans,,,nominatim,missing
Étouvans,,,nominatim,missing
Dampierre-sur-le-Doubs,,,nominatim,missing
Berche,,,nominatim,missing
Voujeaucourt,,,nominatim,missing
Courcelles-lès-Montbéliard,,,nominatim,missing
Montbéliard,,,nominatim,missing
Exincourt,,,nominatim,missing
Étupes,,,nominatim,missing
Allenjoie,,,nominatim,missing
Brognard,,,nominatim,missing
Dambenois,,,nominatim,missing
Vourvenans,,,nominatim,missing
Bermont,,,nominatim,missing
Dorans,,,nominatim,missing
Botans,,,nominatim,missing
Andelnans,,,nominatim,missing
Danjoutin,,,nominatim,missing
