commune_original,statut,commune_finale,raison
Belfort,corrected,Belfort,Orthographe corrigée
Danjoutin,unknown,Danjoutin,Commune non trouvée dans le mapping
Andelnans,unknown,Andelnans,Commune non trouvée dans le mapping
Charmois,unknown,Charmois,Commune non trouvée dans le mapping
Froidefontaine,unknown,Froidefontaine,Commune non trouvée dans le mapping
Morvillars,unknown,Morvillars,Commune non trouvée dans le mapping
Grandvillars,corrected,Grandvillars,Commune fusionnée reclassifiée
Thiancourt,unknown,Thiancourt,Commune non trouvée dans le mapping
Delle,unknown,Delle,Commune non trouvée dans le mapping
Bourogne,unknown,Bourogne,Commune non trouvée dans le mapping
La Jonxion,unknown,La Jonxion,Commune non trouvée dans le mapping
Sevenans,unknown,Sevenans,Commune non trouvée dans le mapping
