commune_original,statut,commune_finale,raison
Belfort,corrected,Belfort,Orthographe corrigée
Pérouse,unknown,Pérouse,Commune non trouvée dans le mapping
Chèvremont,unknown,Chèvremont,Commune non trouvée dans le mapping
Fontenelle,unknown,Fontenelle,Commune non trouvée dans le mapping
Petit-Croix,unknown,Petit-Croix,Commune non trouvée dans le mapping
Montreux-Château,unknown,Montreux-Château,Commune non trouvée dans le mapping
Montreux-Vieux,unknown,Montreux-Vieux,Commune non trouvée dans le mapping
Montreux-Jeune,unknown,Montreux-Jeune,Commune non trouvée dans le mapping
Magny,unknown,Magny,Commune non trouvée dans le mapping
Valdieu-Lutran,unknown,Valdieu-Lutran,Commune non trouvée dans le mapping
Retzwiller,unknown,Retzwiller,Commune non trouvée dans le mapping
Wolfersdorf,unknown,Wolfersdorf,Commune non trouvée dans le mapping
Traubach-le-Bas,unknown,Traubach-le-Bas,Commune non trouvée dans le mapping
Traubach-le-Haut,unknown,Traubach-le-Haut,Commune non trouvée dans le mapping
Bréchaumont,unknown,Bréchaumont,Commune non trouvée dans le mapping
Saint-Cosme,unknown,Saint-Cosme,Commune non trouvée dans le mapping
Vauthiermont,unknown,Vauthiermont,Commune non trouvée dans le mapping
Larivière,unknown,Larivière,Commune non trouvée dans le mapping
Lacollonge,unknown,Lacollonge,Commune non trouvée dans le mapping
Phaffans,unknown,Phaffans,Commune non trouvée dans le mapping
Denney,unknown,Denney,Commune non trouvée dans le mapping
Roppe,unknown,Roppe,Commune non trouvée dans le mapping
Vétrigne,unknown,Vétrigne,Commune non trouvée dans le mapping
Offemont,corrected,Offemont,Orthographe corrigée
