commune_original,statut,commune_finale,raison
Belfort,corrected,Belfort,Orthographe corrigée
Offemont,corrected,Offemont,Orthographe corrigée
Valdoie,corrected,Valdoie,Orthographe corrigée
Sermamagny,unknown,Sermamagny,Commune non trouvée dans le mapping
Chaux,unknown,Chaux,Commune non trouvée dans le mapping
Giromagny,corrected,Grosmagny,Correction floue (similarité: grosmagny)
La Planche-le-Prêtre,unknown,La Planche-le-Prêtre,Commune non trouvée dans le mapping
Vescemont,unknown,Vescemont,Commune non trouvée dans le mapping
Le Plainot,unknown,Le Plainot,Commune non trouvée dans le mapping
Rougegoutte,corrected,Rougegoutte,Commune fusionnée reclassifiée
Grosmagny,corrected,Grosmagny,Orthographe corrigée
Petitmagny,corrected,Petitmagny,Orthographe corrigée
Les Queupeux,corrected,Étueffont,Commune fusionnée reclassifiée
Étueffont-Bas,corrected,Étueffont,Commune fusionnée reclassifiée
Anjoutey,unknown,Anjoutey,Commune non trouvée dans le mapping
Les Errues,unknown,Les Errues,Commune non trouvée dans le mapping
Eguenigue,unknown,Eguenigue,Commune non trouvée dans le mapping
Roppe,unknown,Roppe,Commune non trouvée dans le mapping
Vétrigne,unknown,Vétrigne,Commune non trouvée dans le mapping
