commune,latitude,longitude,method,geojson_status
Danjoutin,,,nominatim,missing
Andelnans,,,nominatim,missing
Sevenans,,,nominatim,missing
Charmois,,,nominatim,missing
Froidefontaine,,,nominatim,missing
Bourogne,,,nominatim,missing
Morvillars,,,nominatim,missing
Thiancourt,,,nominatim,missing
Delle,,,nominatim,missing
Pfetterhouse,,,nominatim,missing
Niederlarg,,,nominatim,missing
Mooslargue,,,nominatim,missing
Seppois-le-Haut,,,nominatim,missing
Seppois-le-Bas,,,nominatim,missing
Ueberstrass,,,nominatim,missing
Friesen,,,nominatim,missing
Reschel,,,nominatim,missing
Hindlingen,,,nominatim,missing
Mertzen,,,nominatim,missing
Saint-Ulrich,,,nominatim,missing
Altenach,,,nominatim,missing
Dannemarie,,,nominatim,missing
Wolfersdorf,,,nominatim,missing
Traubach-le-Bas,,,nominatim,missing
Traubach-le-Haut,,,nominatim,missing
Guevenatten,,,nominatim,missing
Bellemagny,,,nominatim,missing
Eteimbes,,,nominatim,missing
Lachapelle-sous-Rougemont,,,nominatim,missing
Angeot,,,nominatim,missing
Larivière,,,nominatim,missing
Lacollonge,,,nominatim,missing
Phaffans,,,nominatim,missing
Denney,,,nominatim,missing
Roppe,,,nominatim,missing
Vétrigne,,,nominatim,missing
