commune,latitude,longitude,method,geojson_status
Les Errues,,,nominatim,missing
Chaux,,,nominatim,missing
Argiésans,,,nominatim,missing
Morvillars,,,nominatim,missing
Suarce,,,nominatim,missing
Bethonvilliers,,,nominatim,missing
Sur la Vie de Florimont,,,nominatim,missing
Angeot,,,nominatim,missing
Saint-Dizier-l'Évêque,,,nominatim,missing
Buc,,,nominatim,missing
Grosne,,,nominatim,missing
Bavilliers,,,nominatim,missing
Joncherey,,,nominatim,missing
Le Plainot,,,nominatim,missing
Delle,,,nominatim,missing
Novillard,,,nominatim,missing
Pérouse,,,nominatim,missing
Petitefontaine,,,nominatim,missing
Bessoncourt,,,nominatim,missing
Danjoutin,,,nominatim,missing
Essert,,,nominatim,missing
Fêche-l'Église,,,nominatim,missing
Brebotte,,,nominatim,missing
Bretagne,,,nominatim,missing
Montreux-Château,,,nominatim,missing
Bourogne,,,nominatim,missing
Vauthiermont,,,nominatim,missing
Montbouton,,,nominatim,missing
Villars-le-Sec,,,nominatim,missing
Frais,,,nominatim,missing
Recouvrance,,,nominatim,missing
Lachapelle-sous-Chaux,,,nominatim,missing
Botans,,,nominatim,missing
Foussemagne,,,nominatim,missing
Lagrange,,,nominatim,missing
Beaucourt,,,nominatim,missing
Reppe,,,nominatim,missing
Cravanche,,,nominatim,missing
Évette,,,nominatim,missing
Denney,,,nominatim,missing
Roppe,,,nominatim,missing
