commune_original,statut,commune_finale,raison
Belfort,corrected,Belfort,Orthographe corrigée
Offemont,corrected,Offemont,Orthographe corrigée
Denney,unknown,Denney,Commune non trouvée dans le mapping
Phaffans,unknown,Phaffans,Commune non trouvée dans le mapping
Lacollonge,unknown,Lacollonge,Commune non trouvée dans le mapping
Larivière,unknown,Larivière,Commune non trouvée dans le mapping
Angeot,unknown,Angeot,Commune non trouvée dans le mapping
Lachapelle-sous-Rougemont,unknown,Lachapelle-sous-Rougemont,Commune non trouvée dans le mapping
Eteimbes,unknown,Eteimbes,Commune non trouvée dans le mapping
Bretten,unknown,Bretten,Commune non trouvée dans le mapping
Soppe-le-Bas,unknown,Soppe-le-Bas,Commune non trouvée dans le mapping
Guewenheim,unknown,Guewenheim,Commune non trouvée dans le mapping
Roderen,unknown,Roderen,Commune non trouvée dans le mapping
Leimbach,unknown,Leimbach,Commune non trouvée dans le mapping
Vieux-Thann,unknown,Vieux-Thann,Commune non trouvée dans le mapping
Thann-Guebwiller,unknown,Thann-Guebwiller,Commune non trouvée dans le mapping
Bitschwiller-lès-Thann,unknown,Bitschwiller-lès-Thann,Commune non trouvée dans le mapping
Allenbourn,unknown,Allenbourn,Commune non trouvée dans le mapping
Bourbach-le-Haut,unknown,Bourbach-le-Haut,Commune non trouvée dans le mapping
Houppach,unknown,Houppach,Commune non trouvée dans le mapping
Rougemont-le-Château,unknown,Rougemont-le-Château,Commune non trouvée dans le mapping
Anjoutey,unknown,Anjoutey,Commune non trouvée dans le mapping
Étueffont-Bas,corrected,Étueffont,Commune fusionnée reclassifiée
Les Queupeux,corrected,Étueffont,Commune fusionnée reclassifiée
Grosmagny,corrected,Grosmagny,Orthographe corrigée
Éloie,corrected,Éloie,Orthographe corrigée
