commune_original,statut,commune_finale,raison
Belfort,corrected,Belfort,Orthographe corrigée
Danjoutin,unknown,Danjoutin,Commune non trouvée dans le mapping
Le Berger,unknown,Le Berger,Commune non trouvée dans le mapping
Andelnans,unknown,Andelnans,Commune non trouvée dans le mapping
Sevenans,unknown,Sevenans,Commune non trouvée dans le mapping
Charmois,unknown,Charmois,Commune non trouvée dans le mapping
Froidefontaine,unknown,Froidefontaine,Commune non trouvée dans le mapping
Bourogne,unknown,Bourogne,Commune non trouvée dans le mapping
Morvillars,unknown,Morvillars,Commune non trouvée dans le mapping
Grandvillars,corrected,Grandvillars,Commune fusionnée reclassifiée
Thiancourt,unknown,Thiancourt,Commune non trouvée dans le mapping
Delle,unknown,Delle,Commune non trouvée dans le mapping
Pfetterhouse,unknown,Pfetterhouse,Commune non trouvée dans le mapping
Niederlarg,unknown,Niederlarg,Commune non trouvée dans le mapping
Seppois-le-Haut,unknown,Seppois-le-Haut,Commune non trouvée dans le mapping
Seppois-le-Bas,unknown,Seppois-le-Bas,Commune non trouvée dans le mapping
Ueberstrass,unknown,Ueberstrass,Commune non trouvée dans le mapping
Friesen,unknown,Friesen,Commune non trouvée dans le mapping
Reschel,unknown,Reschel,Commune non trouvée dans le mapping
Hindlingen,unknown,Hindlingen,Commune non trouvée dans le mapping
Mertzen,unknown,Mertzen,Commune non trouvée dans le mapping
Saint-Ulrich,unknown,Saint-Ulrich,Commune non trouvée dans le mapping
Altenach,unknown,Altenach,Commune non trouvée dans le mapping
Dannemarie,unknown,Dannemarie,Commune non trouvée dans le mapping
Wolfersdorf,unknown,Wolfersdorf,Commune non trouvée dans le mapping
Traubach-le-Bas,unknown,Traubach-le-Bas,Commune non trouvée dans le mapping
Traubach-le-Haut,unknown,Traubach-le-Haut,Commune non trouvée dans le mapping
Guevenatten,unknown,Guevenatten,Commune non trouvée dans le mapping
Bellemagny,unknown,Bellemagny,Commune non trouvée dans le mapping
Eteimbes,unknown,Eteimbes,Commune non trouvée dans le mapping
Lachapelle-sous-Rougemont,unknown,Lachapelle-sous-Rougemont,Commune non trouvée dans le mapping
Angeot,unknown,Angeot,Commune non trouvée dans le mapping
Larivière,unknown,Larivière,Commune non trouvée dans le mapping
Lacollonge,unknown,Lacollonge,Commune non trouvée dans le mapping
Phaffans,unknown,Phaffans,Commune non trouvée dans le mapping
Denney,unknown,Denney,Commune non trouvée dans le mapping
Roppe,unknown,Roppe,Commune non trouvée dans le mapping
Vétrigne,unknown,Vétrigne,Commune non trouvée dans le mapping
Offemont,corrected,Offemont,Orthographe corrigée
